"Name","State","Runtime","activation","autoaugment","batch_norm","batch_size","epochs","lr","optimizer","seed","use_cutout","weight_decay","epoch","epoch_time_sec","train_acc","train_loss","val_acc","val_loss"
"bright-sweep-97","finished","2663","SiLU","true","false","64","80","0.0001","Nadam","42","false","0","80","33.12429141998291","65.102","1.0028479154914849","77.17","1.0107193080037833"
"rosy-sweep-96","finished","1698","GELU","true","false","64","50","0.0001","Nadam","42","false","0","50","33.6818950176239","63.28","1.057028894991521","73.67","1.012176105451584"
"serene-sweep-95","finished","2577","GELU","true","false","128","80","0.0001","RMSprop","42","true","0.0005","80","32.11499738693237","64.542","1.0155668072688304","71.91","1.006815273952484"
"iconic-sweep-94","finished","2582","GELU","false","false","128","80","0.0001","Nadam","42","false","0","80","31.509495973587036","64.444","1.0210647486969635","75.72","1.0056508083969355"
"misty-sweep-93","finished","2699","GELU","true","true","64","80","0.0001","Nadam","42","true","0","80","31.93407654762268","66.474","0.9678929926794204","78.07","1.0102485600233078"
"fine-sweep-92","finished","1729","GELU","false","false","64","50","0.0001","Nadam","42","true","0","50","32.96498680114746","63.28","1.057028894991521","73.67","1.012176105451584"
"major-sweep-91","finished","975","GELU","false","false","128","30","0.0001","Nadam","42","false","0","30","34.04590153694153","57.75","1.215920505316361","66.98","1.0074826731085778"
"atomic-sweep-90","finished","2706","GELU","true","true","64","80","0.0001","Nadam","42","false","0.0005","80","32.35224986076355","66.32","0.9687122055484206","77.6","1.010445355153084"
"fallen-sweep-89","finished","1732","GELU","true","true","64","50","0.0001","Nadam","42","true","0","50","32.61181163787842","63.28","1.057028894991521","73.67","1.012176105451584"
"radiant-sweep-88","finished","1735","GELU","false","true","64","50","0.0001","Nadam","42","false","0.0005","50","33.16638422012329","63.37","1.0555535291161988","74.02","1.0119734475374222"
"bright-sweep-87","finished","1702","SiLU","false","false","64","50","0.0001","Nadam","42","true","0","50","32.69295144081116","61.858","1.0944030489915473","73.06","1.0123926550626754"
"azure-sweep-86","finished","2609","GELU","true","false","128","80","0.0001","RMSprop","42","false","0","80","31.612499952316284","64.56","1.0174763798713684","74.24","1.00619315508008"
"confused-sweep-85","crashed","695","GELU","true","true","64","30","0.001","RMSprop","42","true","0.0005","19","34.79965424537659","63.472","1.0501496070791083","66.97","1.015900670003891"
"dry-sweep-84","finished","2568","GELU","false","false","128","80","0.0001","Nadam","42","false","0.0005","80","31.393627405166622","64.676","1.0173477876521742","75.93","1.005606348669529"
"misunderstood-sweep-83","finished","1695","GELU","false","true","128","50","0.0001","Nadam","42","true","0.0005","50","33.593305587768555","61.358","1.1057665570617636","70.82","1.0067461038410663"
"gentle-sweep-82","finished","1069","GELU","true","false","64","30","0.0001","Nadam","42","false","0.0005","30","34.21629452705383","59.762","1.156175060726493","68.2","1.0145134767949582"
"earnest-sweep-81","finished","1662","GELU","false","true","64","50","0.0001","Nadam","42","false","0","50","32.19049692153931","63.28","1.057028894991521","73.67","1.012176105451584"
"crisp-sweep-80","finished","2820","GELU","true","false","128","80","0.0001","Nadam","42","false","0","80","33.355422496795654","64.444","1.0210647486969635","75.72","1.0056508083969355"
"good-sweep-79","finished","2518","GELU","true","true","128","80","0.0001","Nadam","42","true","0.0005","80","30.862937688827515","64.676","1.0173477876521742","75.93","1.005606348669529"
"lucky-sweep-78","finished","1066","GELU","true","true","64","30","0.0001","Nadam","42","false","0.0005","30","35.91741752624512","59.762","1.156175060726493","68.2","1.0145134767949582"
"divine-sweep-77","finished","1016","GELU","false","true","64","30","0.001","Nadam","42","true","0.0005","30","32.830857038497925","66.37","0.966998395178934","73.88","1.012366668456793"
"noble-sweep-76","finished","1891","SiLU","false","false","64","50","0.0001","Nadam","42","true","0.0005","50","36.08329916000366","61.75","1.1005089935439325","71.58","1.0129297984957697"
"devout-sweep-75","finished","1660","GELU","false","true","64","50","0.0001","RMSprop","42","true","0","50","32.009448766708374","63.352","1.0539509009217365","69.02","1.015497588700056"
"drawn-sweep-74","finished","2497","GELU","false","true","256","80","0.0001","Nadam","42","false","0","80","30.47425937652588","62.244","1.0826377287811162","72.92","1.0031308489561082"
"ruby-sweep-73","finished","1143","SiLU","true","true","64","30","0.001","Nadam","42","false","0","30","37.18185877799988","70.114","0.865227233494639","79.45","1.0096620634138584"
"solar-sweep-72","finished","2793","SiLU","false","false","64","80","0.0001","RMSprop","42","false","0","80","34.001948595047","65.266","0.9989776854472392","69.15","1.01591139164567"
"silvery-sweep-71","finished","1582","GELU","false","false","128","50","0.0001","Nadam","42","false","0.0005","50","31.19088363647461","61.358","1.1057665570617636","70.82","1.0067461038410663"
"earthy-sweep-70","finished","1136","SiLU","true","false","64","30","0.001","Nadam","42","true","0.0005","30","37.17035388946533","63.998","1.0339269344611546","71.72","1.013421130719781"
"comfy-sweep-69","finished","1056","GELU","true","true","64","30","0.001","Nadam","42","false","0.0005","30","35.54003310203552","66.37","0.966998395178934","73.88","1.012366668456793"
"likely-sweep-68","finished","2585","GELU","false","true","128","80","0.0001","Nadam","42","true","0.0005","80","31.249621391296387","64.676","1.0173477876521742","75.93","1.005606348669529"
"cerulean-sweep-67","finished","1678","SiLU","false","true","64","50","0.0001","Nadam","42","false","0.0005","50","34.747517347335815","61.75","1.1005089935439325","71.58","1.0129297984957697"
"comfy-sweep-66","finished","1858","GELU","true","true","64","50","0.0001","Nadam","42","true","0.0005","50","35.69695448875427","63.37","1.0555535291161988","74.02","1.0119734475374222"
"revived-sweep-65","finished","1025","GELU","false","false","64","30","0.001","Nadam","42","false","0.0005","30","35.06829524040222","66.37","0.966998395178934","73.88","1.012366668456793"
"graceful-sweep-64","finished","1012","SiLU","false","false","64","30","0.0001","Nadam","42","false","0","30","31.96561336517334","58.186","1.1964046795045018","66.9","1.0150521123707297"
"graceful-sweep-63","finished","2672","GELU","true","false","128","80","0.0001","Nadam","42","true","0.0005","80","32.69539451599121","64.676","1.0173477876521742","75.93","1.005606348669529"
"atomic-sweep-62","finished","1121","GELU","true","false","64","30","0.001","Nadam","42","true","0","30","37.14714550971985","70.662","0.8451349578245216","80.19","1.009434755513072"
"misty-sweep-61","finished","1047","GELU","true","true","64","30","0.0001","Nadam","42","true","0.0005","30","34.24308729171753","59.762","1.156175060726493","68.2","1.0145134767949582"
"eager-sweep-60","finished","1066","SiLU","true","false","64","30","0.001","Nadam","42","false","0.0005","30","35.40461587905884","63.998","1.0339269344611546","71.72","1.013421130719781"
"generous-sweep-59","finished","1574","GELU","false","false","128","50","0.0001","Nadam","42","false","0.0005","50","31.245482444763184","61.358","1.1057665570617636","70.82","1.0067461038410663"
"noble-sweep-58","finished","1814","SiLU","true","false","64","50","0.0001","Nadam","42","false","0.0005","50","36.299755334854126","61.75","1.1005089935439325","71.58","1.0129297984957697"
"bright-sweep-57","finished","1775","GELU","false","false","64","50","0.0001","Nadam","42","true","0","50","33.69537925720215","63.28","1.057028894991521","73.67","1.012176105451584"
"dry-sweep-56","finished","2742","GELU","false","true","256","80","0.0001","Nadam","42","true","0.0005","80","36.16026997566223","62.39","1.0777494743162273","73.36","1.003102607756853"
"amber-sweep-55","finished","2534","GELU","true","true","128","80","0.0001","Nadam","42","false","0","80","30.870524168014526","64.444","1.0210647486969635","75.72","1.0056508083969355"
